#SampleID,Sample,Stream,Site,st,sample_type,Land_use_type
RM-214,EXT1_neg,negative,negative,T2,extraction_negative,extraction_negative
RM-93,EXT1_neg,negative,negative,T1,extraction_negative,extraction_negative
RM-215,EXT2_neg,negative,negative,T2,extraction_negative,extraction_negative
RM-94,EXT2_neg,negative,negative,T1,extraction_negative,extraction_negative
RM-216,EXT3_neg,negative,negative,T2,extraction_negative,extraction_negative
RM-95,EXT3_neg,negative,negative,T1,extraction_negative,extraction_negative
RM-105,EXT4_neg,negative,negative,T1,extraction_negative,extraction_negative
RM-236,EXT4_neg,negative,negative,T2,extraction_negative,extraction_negative
RM-217,PCR_neg1,negative,negative,T2,PCR_negative,PCR_negative
RM-237,PCR_neg1,negative,negative,T2,PCR_negative,PCR_negative
RM-96,PCR_neg1,negative,negative,T1,PCR_negative,PCR_negative
RM-106,PCR_neg2,negative,negative,T2,PCR_negative,PCR_negative
RM-66,OTAS21,Otterbach,FO,T1,DB,Forest
RM-67,OTAS22,Otterbach,FO,T1,DB,Forest
RM-68,OTAS23,Otterbach,FO,T1,DB,Forest
RM-69,OTAS24,Otterbach,FO,T1,DB,Forest
RM-70,OTAS25,Otterbach,FO,T1,DB,Forest
RM-197,OTAS21,Otterbach,FO,T2,DB,Forest
RM-198,OTAS22,Otterbach,FO,T2,DB,Forest
RM-199,OTAS23,Otterbach,FO,T2,DB,Forest
RM-200,OTAS24,Otterbach,FO,T2,DB,Forest
RM-201,OTAS25,Otterbach,FO,T2,DB,Forest
RM-226,OTNS21,Otterbach,FO,T2,MB,Forest
RM-91,OTNS21,Otterbach,FO,T1,MB,Forest
RM-227,OTNS22,Otterbach,FO,T2,MB,Forest
RM-92,OTNS22,Otterbach,FO,T1,MB,Forest
RM-228,OTNS23,Otterbach,FO,T2,MB,Forest
RM-97,OTNS23,Otterbach,FO,T1,MB,Forest
RM-229,OTNS24,Otterbach,FO,T2,MB,Forest
RM-98,OTNS24,Otterbach,FO,T1,MB,Forest
RM-230,OTNS25,Otterbach,FO,T2,MB,Forest
RM-99,OTNS25,Otterbach,FO,T1,MB,Forest
RM-71,OTAS31,Otterbach,IO,T1,DB,Intensive
RM-72,OTAS32,Otterbach,IO,T1,DB,Intensive
RM-73,OTAS33,Otterbach,IO,T1,DB,Intensive
RM-74,OTAS34,Otterbach,IO,T1,DB,Intensive
RM-75,OTAS35,Otterbach,IO,T1,DB,Intensive
RM-202,OTAS31,Otterbach,IO,T2,DB,Intensive
RM-203,OTAS32,Otterbach,IO,T2,DB,Intensive
RM-204,OTAS33,Otterbach,IO,T2,DB,Intensive
RM-205,OTAS34,Otterbach,IO,T2,DB,Intensive
RM-206,OTAS35,Otterbach,IO,T2,DB,Intensive
RM-100,OTNS31,Otterbach,IO,T1,MB,Intensive
RM-231,OTNS31,Otterbach,IO,T2,MB,Intensive
RM-101,OTNS32,Otterbach,IO,T1,MB,Intensive
RM-232,OTNS32,Otterbach,IO,T2,MB,Intensive
RM-102,OTNS33,Otterbach,IO,T1,MB,Intensive
RM-233,OTNS33,Otterbach,IO,T2,MB,Intensive
RM-103,OTNS34,Otterbach,IO,T1,MB,Intensive
RM-234,OTNS34,Otterbach,IO,T2,MB,Intensive
RM-104,OTNS35,Otterbach,IO,T1,MB,Intensive
RM-235,OTNS35,Otterbach,IO,T2,MB,Intensive
RM-61,OTAS11,Otterbach,EO,T1,DB,Extensive
RM-62,OTAS12,Otterbach,EO,T1,DB,Extensive
RM-63,OTAS13,Otterbach,EO,T1,DB,Extensive
RM-64,OTAS14,Otterbach,EO,T1,DB,Extensive
RM-65,OTAS15,Otterbach,EO,T1,DB,Extensive
RM-192,OTAS11,Otterbach,EO,T2,DB,Extensive
RM-193,OTAS12,Otterbach,EO,T2,DB,Extensive
RM-194,OTAS13,Otterbach,EO,T2,DB,Extensive
RM-195,OTAS14,Otterbach,EO,T2,DB,Extensive
RM-196,OTAS15,Otterbach,EO,T2,DB,Extensive
RM-221,OTNS11,Otterbach,EO,T2,MB,Extensive
RM-86,OTNS11,Otterbach,EO,T1,MB,Extensive
RM-222,OTNS12,Otterbach,EO,T2,MB,Extensive
RM-87,OTNS12,Otterbach,EO,T1,MB,Extensive
RM-223,OTNS13,Otterbach,EO,T2,MB,Extensive
RM-88,OTNS13,Otterbach,EO,T1,MB,Extensive
RM-224,OTNS14,Otterbach,EO,T2,MB,Extensive
RM-89,OTNS14,Otterbach,EO,T1,MB,Extensive
RM-225,OTNS15,Otterbach,EO,T2,MB,Extensive
RM-90,OTNS15,Otterbach,EO,T1,MB,Extensive
RM-56,PLAS21,Perlenbach,FP,T1,DB,Forest
RM-57,PLAS22,Perlenbach,FP,T1,DB,Forest
RM-58,PLAS23,Perlenbach,FP,T1,DB,Forest
RM-59,PLAS24,Perlenbach,FP,T1,DB,Forest
RM-60,PLAS25,Perlenbach,FP,T1,DB,Forest
RM-187,PLAS21,Perlenbach,FP,T2,DB,Forest
RM-188,PLAS22,Perlenbach,FP,T2,DB,Forest
RM-189,PLAS23,Perlenbach,FP,T2,DB,Forest
RM-190,PLAS24,Perlenbach,FP,T2,DB,Forest
RM-191,PLAS25,Perlenbach,FP,T2,DB,Forest
RM-212,PLNS21,Perlenbach,FP,T2,MB,Forest
RM-81,PLNS21,Perlenbach,FP,T1,MB,Forest
RM-213,PLNS22,Perlenbach,FP,T2,MB,Forest
RM-82,PLNS22,Perlenbach,FP,T1,MB,Forest
RM-218,PLNS23,Perlenbach,FP,T2,MB,Forest
RM-83,PLNS23,Perlenbach,FP,T1,MB,Forest
RM-219,PLNS24,Perlenbach,FP,T2,MB,Forest
RM-84,PLNS24,Perlenbach,FP,T1,MB,Forest
RM-220,PLNS25,Perlenbach,FP,T2,MB,Forest
RM-85,PLNS25,Perlenbach,FP,T1,MB,Forest
RM-51,PLAS11,Perlenbach,EP,T1,DB,Extensive
RM-52,PLAS12,Perlenbach,EP,T1,DB,Extensive
RM-53,PLAS13,Perlenbach,EP,T1,DB,Extensive
RM-54,PLAS14,Perlenbach,EP,T1,DB,Extensive
RM-55,PLAS15,Perlenbach,EP,T1,DB,Extensive
RM-182,PLAS11,Perlenbach,EP,T2,DB,Extensive
RM-183,PLAS12,Perlenbach,EP,T2,DB,Extensive
RM-184,PLAS13,Perlenbach,EP,T2,DB,Extensive
RM-185,PLAS14,Perlenbach,EP,T2,DB,Extensive
RM-186,PLAS15,Perlenbach,EP,T2,DB,Extensive
RM-207,PLNS11,Perlenbach,EP,T2,MB,Extensive
RM-76,PLNS11,Perlenbach,EP,T1,MB,Extensive
RM-208,PLNS12,Perlenbach,EP,T2,MB,Extensive
RM-77,PLNS12,Perlenbach,EP,T1,MB,Extensive
RM-209,PLNS13,Perlenbach,EP,T2,MB,Extensive
RM-78,PLNS13,Perlenbach,EP,T1,MB,Extensive
RM-210,PLNS14,Perlenbach,EP,T2,MB,Extensive
RM-79,PLNS14,Perlenbach,EP,T1,MB,Extensive
RM-211,PLNS15,Perlenbach,EP,T2,MB,Extensive
RM-80,PLNS15,Perlenbach,EP,T1,MB,Extensive
